券種,買い目,odds,id
3連複,2-6-14,700,20230812_小倉_結果_3
3連複,1-4-8,670,20230812_小倉_結果_4
3連複,1-10-14,12430,20230812_小倉_結果_5
3連複,3-4-12,29760,20230812_小倉_結果_6
3連複,11-13-14,8470,20230812_小倉_結果_7
3連複,4-10-13,4740,20230812_小倉_結果_8
3連複,5-6-11,11770,20230812_小倉_結果_9
3連複,5-7-9,750,20230812_小倉_結果_10
3連複,4-6-13,375260,20230812_小倉_結果_11
3連複,1-8-18,112310,20230812_小倉_結果_12
3連複,7-9-15,9160,20230812_新潟_結果_1
3連複,1-6-10,1240,20230812_新潟_結果_2
3連複,3-14-15,34410,20230812_新潟_結果_3
3連複,1-10-11,105600,20230812_新潟_結果_4
3連複,2-4-6,1400,20230812_新潟_結果_5
3連複,6-8-11,32610,20230812_新潟_結果_6
3連複,15-17-18,10070,20230812_新潟_結果_7
3連複,4-9-15,28070,20230812_新潟_結果_8
3連複,1-3-11,6170,20230812_新潟_結果_9
3連複,2-5-17,189000,20230812_新潟_結果_10
3連複,5-10-14,32250,20230812_新潟_結果_11
3連複,5-8-15,3630,20230812_新潟_結果_12
3連複,1-4-8,1380,20230812_札幌_結果_1
3連複,3-12-13,7820,20230812_札幌_結果_2
3連複,5-11-12,3140,20230812_札幌_結果_3
3連複,8-13-14,2110,20230812_札幌_結果_4
3連複,1-4-7,2840,20230812_札幌_結果_5
3連複,2-8-12,258370,20230812_札幌_結果_6
3連複,1-8-10,10600,20230812_札幌_結果_7
3連複,5-10-12,44360,20230812_札幌_結果_8
3連複,2-5-8,920,20230812_札幌_結果_9
3連複,1-7-10,4840,20230812_札幌_結果_10
3連複,4-5-14,17500,20230812_札幌_結果_11
3連複,3-6-11,1600,20230812_札幌_結果_12
3連複,6-11-16,4890,20230812_札幌_結果_12
3連複,1-5-8,340,20230813_小倉_結果_1
3連複,2-7-15,87150,20230813_小倉_結果_2
3連複,8-11-12,3510,20230813_小倉_結果_3
3連複,7-13-15,11130,20230813_小倉_結果_4
3連複,2-13-14,2180,20230813_小倉_結果_5
3連複,1-3-11,3230,20230813_小倉_結果_6
3連複,1-12-13,337690,20230813_小倉_結果_7
3連複,2-4-9,2130,20230813_小倉_結果_8
3連複,2-4-9,1980,20230813_小倉_結果_9
3連複,5-9-12,30450,20230813_小倉_結果_10
3連複,2-3-7,5940,20230813_小倉_結果_11
3連複,1-2-3,32570,20230813_小倉_結果_12
3連複,2-9-12,82970,20230813_新潟_結果_1
3連複,6-9-12,10570,20230813_新潟_結果_2
3連複,4-7-18,1530,20230813_新潟_結果_3
3連複,10-12-15,61530,20230813_新潟_結果_4
3連複,1-3-10,21760,20230813_新潟_結果_5
3連複,10-11-12,171260,20230813_新潟_結果_6
3連複,6-12-16,16190,20230813_新潟_結果_7
3連複,2-7-9,7120,20230813_新潟_結果_8
3連複,1-12-13,16160,20230813_新潟_結果_9
3連複,1-2-6,2110,20230813_新潟_結果_10
3連複,1-2-16,7990,20230813_新潟_結果_11
3連複,7-8-11,25010,20230813_新潟_結果_12
3連複,1-2-3,1990,20230813_札幌_結果_1
3連複,7-10-12,26020,20230813_札幌_結果_2
3連複,8-9-14,6260,20230813_札幌_結果_3
3連複,3-9-10,17840,20230813_札幌_結果_4
3連複,1-6-8,1250,20230813_札幌_結果_5
3連複,9-11-14,750,20230813_札幌_結果_6
3連複,3-12-13,4410,20230813_札幌_結果_7
3連複,1-4-8,380,20230813_札幌_結果_8
3連複,6-8-9,3210,20230813_札幌_結果_9
3連複,1-4-5,5060,20230813_札幌_結果_10
3連複,7-9-15,26410,20230813_札幌_結果_11
3連複,8-11-13,2080,20230813_札幌_結果_12
3連複,2-16-17,10520,20230819_小倉_結果_1
3連複,2-3-12,1370,20230819_小倉_結果_2
3連複,6-8-12,4940,20230819_小倉_結果_3
3連複,1-8-14,4140,20230819_小倉_結果_4
3連複,5-8-11,18140,20230819_小倉_結果_5
3連複,11-12-16,11620,20230819_小倉_結果_6
3連複,2-3-5,1820,20230819_小倉_結果_7
3連複,2-5-11,6530,20230819_小倉_結果_8
3連複,3-5-9,21170,20230819_小倉_結果_9
3連複,4-5-6,520,20230819_小倉_結果_10
3連複,1-9-11,10600,20230819_小倉_結果_11
3連複,7-13-15,37350,20230819_小倉_結果_12
3連複,3-4-8,54310,20230819_新潟_結果_1
3連複,5-13-14,10160,20230819_新潟_結果_2
3連複,9-13-14,12940,20230819_新潟_結果_3
3連複,1-6-7,5020,20230819_新潟_結果_4
