id,買い目,購入金額,券種,odds
20130303_小倉_結果_7,2-5-13,100,,
20130303_小倉_結果_7,2-6-13,100,,
20130303_小倉_結果_7,2-11-13,100,,
20130303_小倉_結果_7,2-9-13,100,,
20130303_小倉_結果_7,2-5-11,100,,
20130303_小倉_結果_7,2-6-11,100,,
20130303_小倉_結果_7,2-9-11,100,,
20130303_小倉_結果_7,2-13-15,100,,
20130303_小倉_結果_7,2-5-15,100,,
20130303_小倉_結果_7,2-6-15,100,,
20130303_小倉_結果_7,2-11-15,100,,
20130303_小倉_結果_7,2-9-15,100,,
20130303_小倉_結果_7,2-10-13,100,,
20130303_小倉_結果_7,2-5-10,100,,
20130303_小倉_結果_7,2-6-10,100,,
20130303_小倉_結果_7,2-10-11,100,,
20130303_小倉_結果_7,2-9-10,100,,
20130303_小倉_結果_7,5-6-13,100,,
20130303_小倉_結果_7,6-11-13,100,,
20130303_小倉_結果_7,6-9-13,100,,
20130303_小倉_結果_7,5-6-11,100,,
20130303_小倉_結果_7,6-9-11,100,,
20130303_小倉_結果_7,6-13-15,100,,
20130303_小倉_結果_7,5-6-15,100,,
20130303_小倉_結果_7,6-11-15,100,,
20130303_小倉_結果_7,6-9-15,100,,
20130303_小倉_結果_7,6-10-13,100,,
20130303_小倉_結果_7,5-6-10,100,,
20130303_小倉_結果_7,6-10-11,100,,
20130303_小倉_結果_7,6-9-10,100,,
20130303_小倉_結果_7,2-5-6,100,,
20130303_小倉_結果_7,2-6-9,100,,
20130303_小倉_結果_7,5-9-13,100,,
20130303_小倉_結果_7,9-11-13,100,,
20130303_小倉_結果_7,5-9-11,100,,
20130303_小倉_結果_7,9-13-15,100,,
20130303_小倉_結果_7,5-9-15,100,,
20130303_小倉_結果_7,9-11-15,100,,
20130303_小倉_結果_7,9-10-13,100,,
20130303_小倉_結果_7,5-9-10,100,,
20130303_小倉_結果_7,9-10-11,100,,
20130303_小倉_結果_7,2-5-9,100,,
20130303_小倉_結果_7,5-11-13,100,,
20130303_小倉_結果_7,11-13-15,100,,
20130303_小倉_結果_7,5-11-15,100,,
20130303_小倉_結果_7,10-11-13,100,,
20130303_小倉_結果_7,5-10-11,100,,
20130303_小倉_結果_7,5-10-13,100,,
20130303_小倉_結果_7,10-13-15,100,,
20130303_小倉_結果_7,5-10-15,100,,
20130303_小倉_結果_7,6-10-15,100,,
20130303_小倉_結果_7,10-11-15,100,,
20130303_小倉_結果_7,9-10-15,100,,
20130303_小倉_結果_8,5-9-13,100,,
20130303_小倉_結果_8,9-13-14,100,,
20130303_小倉_結果_8,1-9-13,100,,
20130303_小倉_結果_8,8-9-13,100,,
20130303_小倉_結果_8,9-13-18,100,,
20130303_小倉_結果_8,5-9-18,100,,
20130303_小倉_結果_8,9-14-18,100,,
20130303_小倉_結果_8,1-9-18,100,,
20130303_小倉_結果_8,8-9-18,100,,
20130303_小倉_結果_8,5-9-14,100,,
20130303_小倉_結果_8,1-9-14,100,,
20130303_小倉_結果_8,8-9-14,100,,
20130303_小倉_結果_8,9-13-16,100,,
20130303_小倉_結果_8,5-9-16,100,,
20130303_小倉_結果_8,9-14-16,100,,
20130303_小倉_結果_8,1-9-16,100,,
20130303_小倉_結果_8,8-9-16,100,,
20130303_小倉_結果_8,9-13-17,100,,
20130303_小倉_結果_8,5-9-17,100,,
20130303_小倉_結果_8,9-14-17,100,,
20130303_小倉_結果_8,1-9-17,100,,
20130303_小倉_結果_8,8-9-17,100,,
20130303_小倉_結果_8,5-13-16,100,,
20130303_小倉_結果_8,13-14-16,100,,
20130303_小倉_結果_8,1-13-16,100,,
20130303_小倉_結果_8,8-13-16,100,,
20130303_小倉_結果_8,13-16-18,100,,
20130303_小倉_結果_8,5-16-18,100,,
20130303_小倉_結果_8,14-16-18,100,,
20130303_小倉_結果_8,1-16-18,100,,
20130303_小倉_結果_8,8-16-18,100,,
20130303_小倉_結果_8,5-14-16,100,,
20130303_小倉_結果_8,1-14-16,100,,
20130303_小倉_結果_8,8-14-16,100,,
20130303_小倉_結果_8,13-16-17,100,,
20130303_小倉_結果_8,5-16-17,100,,
20130303_小倉_結果_8,14-16-17,100,,
